#,frozen_output,output_section,generating_script_v3,direct_inputs,direct_input_producer_scripts,upstream_public_roots,reproducible_from_public,coverage,execution_evidence_v3,py_compile_v3
1,B5/mechanism_chain_validation.csv,B5,scripts/b5_m34_mechanism_rescue.py,output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B4/B4b_ISG_core_set.csv,scripts/b5_m34_mechanism_rescue.py,"02->06 B1 (GSE309039), 08->11 B2 (GSE309037), 12->13 B3 (GSE309038), 14 B4, b5_m1/m2 (core68 evidence); GEO GSE309039/309037/309038",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
2,B5/rescue_analysis_full.csv,B5,scripts/b5_m34_mechanism_rescue.py,output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B4/B4b_ISG_core_set.csv,scripts/b5_m34_mechanism_rescue.py,"02->06 B1 (GSE309039), 08->11 B2 (GSE309037), 12->13 B3 (GSE309038), 14 B4, b5_m1/m2 (core68 evidence); GEO GSE309039/309037/309038",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
3,B5/rescue_sensitivity_analysis.csv,B5,scripts/b5_m34_mechanism_rescue.py,output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B4/B4b_ISG_core_set.csv,scripts/b5_m34_mechanism_rescue.py,"02->06 B1 (GSE309039), 08->11 B2 (GSE309037), 12->13 B3 (GSE309038), 14 B4, b5_m1/m2 (core68 evidence); GEO GSE309039/309037/309038",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
4,B5/figures/suppression_rescue_scatter.pdf,B5,scripts/b5_m34_mechanism_rescue.py,output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B4/B4b_ISG_core_set.csv,scripts/b5_m34_mechanism_rescue.py,"02->06 B1 (GSE309039), 08->11 B2 (GSE309037), 12->13 B3 (GSE309038), 14 B4, b5_m1/m2 (core68 evidence); GEO GSE309039/309037/309038",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
5,B5/figures/rescue_heatmap.pdf,B5,scripts/b5_m34_mechanism_rescue.py,output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B4/B4b_ISG_core_set.csv,scripts/b5_m34_mechanism_rescue.py,"02->06 B1 (GSE309039), 08->11 B2 (GSE309037), 12->13 B3 (GSE309038), 14 B4, b5_m1/m2 (core68 evidence); GEO GSE309039/309037/309038",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
6,B5/robustness_analysis.csv,B5,scripts/b5_m6b_permutation.py,output/B5/core68_evidence_matrix.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B2/CoCul_vs_MoCul_sig.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b5_m6b_permutation.py,above + b5_m6a_loo_donor; GEO GSE309039,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
7,B5/robustness_threshold_sensitivity.csv,B5,scripts/b5_m6b_permutation.py,output/B5/core68_evidence_matrix.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B2/CoCul_vs_MoCul_sig.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b5_m6b_permutation.py,above + b5_m6a_loo_donor; GEO GSE309039,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
8,B5/permutation_distributions.csv,B5,scripts/b5_m6b_permutation.py,output/B5/core68_evidence_matrix.csv; output/B2/IFN_gold_standard_ISG_up.csv; output/B2/CoCul_vs_MoCul_sig.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b5_m6b_permutation.py,above + b5_m6a_loo_donor; GEO GSE309039,YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
9,B6/permutation_results_corrected.csv,B6,scripts/b6_permutation_audit.py,temp-intermediate b6_bg_genes_annotated.csv (b6_prep_permutation_data); output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b6_permutation_audit.py,"B1/B2 tables + b6_prep_permutation_data (needs output/B2 dds.pkl from 08, gene_annotation.csv from 04, Ensembl-length cache from b6_fetch_gene_lengths)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
10,B6/permutation_audit.md,B6,scripts/b6_permutation_audit.py,temp-intermediate b6_bg_genes_annotated.csv (b6_prep_permutation_data); output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b6_permutation_audit.py,"B1/B2 tables + b6_prep_permutation_data (needs output/B2 dds.pkl from 08, gene_annotation.csv from 04, Ensembl-length cache from b6_fetch_gene_lengths)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
11,B6/permutation_null_distributions.pdf,B6,scripts/b6_permutation_audit.py,temp-intermediate b6_bg_genes_annotated.csv (b6_prep_permutation_data); output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b6_permutation_audit.py,"B1/B2 tables + b6_prep_permutation_data (needs output/B2 dds.pkl from 08, gene_annotation.csv from 04, Ensembl-length cache from b6_fetch_gene_lengths)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
12,B6/permutation_null_distributions.png,B6,scripts/b6_permutation_audit.py,temp-intermediate b6_bg_genes_annotated.csv (b6_prep_permutation_data); output/B5/core68_evidence_matrix.csv; output/B2/GSE309037_B2_CoCul_vs_MoCul.csv; output/B1/data2_C8_GMCSF_vs_ctrl.csv; output/B1/data2_C9_LN229_vs_mono.csv,scripts/b6_permutation_audit.py,"B1/B2 tables + b6_prep_permutation_data (needs output/B2 dds.pkl from 08, gene_annotation.csv from 04, Ensembl-length cache from b6_fetch_gene_lengths)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
13,B7/B7_m6_rescue_GSE163120.csv,B7,scripts/b7_06_rescue.py,output/B5/rescue_analysis_full.csv; output/B7/core68_reannotation.csv; temp-intermediate gse163120_tam_expr.pkl + gse163120_tam_annot.csv (b7_01_prep_data); temp-intermediate gse182109_myeloid_expr_aligned.pkl (scripts/generate_gse182109_aligned_object.py) + gse182109_myeloid_annot.csv (generated by scripts/generate_gse182109_aligned_object.py),scripts/b7_06_rescue.py,"B5 rescue (b5_m34), B7 reannotation (b7_02b), B7 prep pkl (b7_01 from C3.1 h5ad / GSM4972211 / GSE182109 raw)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
14,B7/B7_m6_rescue_GSE182109.csv,B7,scripts/b7_06_rescue.py,output/B5/rescue_analysis_full.csv; output/B7/core68_reannotation.csv; temp-intermediate gse163120_tam_expr.pkl + gse163120_tam_annot.csv (b7_01_prep_data); temp-intermediate gse182109_myeloid_expr_aligned.pkl (scripts/generate_gse182109_aligned_object.py) + gse182109_myeloid_annot.csv (generated by scripts/generate_gse182109_aligned_object.py),scripts/b7_06_rescue.py,"B5 rescue (b5_m34), B7 reannotation (b7_02b), B7 prep pkl (b7_01 from C3.1 h5ad / GSM4972211 / GSE182109 raw)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
15,B7/B7_m6_rescue_summary.csv,B7,scripts/b7_06_rescue.py,output/B5/rescue_analysis_full.csv; output/B7/core68_reannotation.csv; temp-intermediate gse163120_tam_expr.pkl + gse163120_tam_annot.csv (b7_01_prep_data); temp-intermediate gse182109_myeloid_expr_aligned.pkl (scripts/generate_gse182109_aligned_object.py) + gse182109_myeloid_annot.csv (generated by scripts/generate_gse182109_aligned_object.py),scripts/b7_06_rescue.py,"B5 rescue (b5_m34), B7 reannotation (b7_02b), B7 prep pkl (b7_01 from C3.1 h5ad / GSM4972211 / GSE182109 raw)",YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
16,B5/figures/Figure1_core68_heatmap.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
17,B5/figures/Figure2_mechanism_chain.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
18,B5/figures/Figure3A_suppression_rescue_scatter.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
19,B5/figures/Figure3B_rescue_heatmap.png,B5,figure_scripts/b5_figures.py,output/B5/core68_evidence_matrix.csv; mechanism_chain_validation.csv; rescue_analysis_full.csv; robustness_leave_one_donor_out.csv; permutation_distributions.csv; robustness_threshold_sensitivity.csv; rescue_sensitivity_analysis.csv; external_scRNA_patient_level_validation.csv; enrichment_ORA_full.csv; output/B4/B4b_ISG_core_set.csv,figure_scripts/b5_figures.py,all B5 analysis scripts b5_m1/m2/m34/m5/m6a/m6b/m7 and B4 (14),YES(public GEO+MSigDB+Ensembl),mapped,"RE-RUN PASS (clean-room run01, C4.4E)",PASS
